term,N,embedding,cluster,n_contexts,silhouette,best_k,silhouette_k,decoded_lemmas,examples
dope,5,masked,0,5,0.0,1,"{1: 0.0, 2: 0.08907792717218399, 3: 0.08064483106136322, 4: 0.05201783776283264}",,"['That beat is dope honestly', 'That transition was dope as hell', 'This jacket looks dope on you', 'Dope energy from the crowd tonight', 'Low effort idea but somehow dope']"
dope,10,masked,0,1,0.1251334547996521,2,"{1: 0.0, 2: 0.1251334547996521, 3: 0.062085025012493134, 4: 0.03541667386889458, 5: 0.04147637262940407}",,['That beat is dope honestly']
dope,10,masked,1,9,0.1251334547996521,2,"{1: 0.0, 2: 0.1251334547996521, 3: 0.062085025012493134, 4: 0.03541667386889458, 5: 0.04147637262940407}",,"['That beat is dope honestly', 'Simple concept, dope execution overall', 'Dope colors mixed with minimal design', 'That transition was dope as hell', 'Dope energy from the crowd tonight']"
dope,20,masked,0,15,0.20511464774608612,2,"{1: 0.0, 2: 0.20511464774608612, 3: 0.13829679787158966, 4: 0.12604930996894836, 5: 0.12029155343770981}",,"['That beat is dope honestly', 'Unexpectedly dope ending to the film', 'Simple concept, dope execution overall', 'This place feels dope at night', 'That timing was dope for real']"
dope,20,masked,1,5,0.20511464774608612,2,"{1: 0.0, 2: 0.20511464774608612, 3: 0.13829679787158966, 4: 0.12604930996894836, 5: 0.12029155343770981}",,"['That transition was dope as hell', 'Low effort idea but somehow dope', 'That beat is dope honestly', 'This jacket looks dope on you', 'Dope energy from the crowd tonight']"
dope,30,masked,0,19,0.24776728451251984,2,"{1: 0.0, 2: 0.24776728451251984, 3: 0.17156626284122467, 4: 0.10960140079259872, 5: 0.1031397357583046}",,"['That beat is dope honestly', 'This whole setup is surprisingly dope', 'This place feels dope at night', 'Unexpectedly dope ending to the film', 'Simple concept, dope execution overall']"
dope,30,masked,1,11,0.24776728451251984,2,"{1: 0.0, 2: 0.24776728451251984, 3: 0.17156626284122467, 4: 0.10960140079259872, 5: 0.1031397357583046}",,"['This remix sounds dope in headphones', 'The crowd reaction was genuinely dope', 'That transition was dope as hell', 'Dope colors mixed with minimal design', 'Low effort idea but somehow dope']"
dope,40,masked,0,25,0.2562941610813141,2,"{1: 0.0, 2: 0.2562941610813141, 3: 0.18764226138591766, 4: 0.17203617095947266, 5: 0.17147254943847656}",,"['That detail makes it feel dope', 'That beat is dope honestly', 'The crowd made the moment dope', 'That visual looked dope on screen', 'This place feels dope at night']"
dope,40,masked,1,15,0.2562941610813141,2,"{1: 0.0, 2: 0.2562941610813141, 3: 0.18764226138591766, 4: 0.17203617095947266, 5: 0.17147254943847656}",,"['This remix sounds dope in headphones', 'The crowd reaction was genuinely dope', 'That timing was dope for real', 'Dope colors mixed with minimal design', 'Unexpectedly dope ending to the film']"
dope,50,masked,0,30,0.266086608171463,2,"{1: 0.0, 2: 0.266086608171463, 3: 0.20297004282474518, 4: 0.1259806752204895, 5: 0.11950451880693436}",,"['That detail makes it feel dope', 'The crowd made the moment dope', 'That visual looked dope on screen', 'That beat is dope honestly', 'Dope vibes carried the whole night']"
